filename,exit_code,execution_time_ms,peak_memory_mb,crash_signal,error,uniq_map_create,uniq_map_trans,uniq_ic_states,uniq_elem_kind,proto_invalidated,gc_minor,gc_major,opt_attempts,opt_success,opt_marked,deopt_all,deopt_unique_reasons,deopt_ratio,log_kb,map_create_count,bucket_string_count,elem_kind_holey,instance_size_max,back_pointer_is_null,non_extensible_flag,bucket_misc_count,bucket_collection_count,bucket_array_count,bucket_weak_count,bucket_handler_count,bucket_dictionary_count,bucket_code_count,elem_kind_shared,elem_kind_slow,bucket_context_count,elem_kind_typed,elem_kind_misc,elem_kind_double,elem_kind_args,unique_map_types,max_descriptor_array_size,uses_transition_array,stable_map_flag,has_cycle_in_back_ptrs,is_code_type,is_feedback_vector,is_cons_or_thin_string,is_external_string,is_symbol_type,is_instruction_stream,total_ic_count,load_ic_count,store_ic_count,megamorphic_ics,polymorphic_ics,monomorphic_ics,prototype_failure_ics,ic_state_transitions,ic_slow_stub_count,polymorphic_in_optimized_func_count,ic_triggered_deopts,issue_report_date,target
exceptions-type-reflection.js,1,1954,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1244,943,24,905,192,744,49,820,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,65,14,51,0,0,0,0,0,0,0,0,2023-12-31,0
exceptions-utils.js,0,433,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1216,929,24,890,192,737,49,805,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,64,13,51,0,0,0,0,0,0,0,0,2023-12-31,0
exceptions.js,1,460,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1283,930,24,891,192,738,49,806,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,65,14,51,0,0,0,0,0,0,0,0,2023-12-31,0
execution-order.js,0,448,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1258,958,24,919,192,756,49,834,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,104,49,55,0,0,3,0,3,0,0,0,2023-12-31,0
exnref-global.js,1,368,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1220,930,24,891,192,738,49,806,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,65,14,51,0,0,0,0,0,0,0,0,2023-12-31,0
exnref-rethrow.js,1,435,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1226,930,24,891,192,738,49,806,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,65,14,51,0,0,0,0,0,0,0,0,2023-12-31,0
exnref.js,1,1785,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1260,930,24,891,192,738,49,806,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,65,14,51,0,0,0,0,0,0,0,0,2023-12-31,0
exp.js,0,439,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1230,930,24,891,192,738,49,806,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,124,73,51,0,0,1,0,1,0,0,0,2023-12-31,0
exponentiation-operator.js,0,471,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1321,952,24,915,192,746,49,830,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,772,688,84,0,0,8,0,8,0,0,0,2023-12-31,0
export-global.js,1,504,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1225,930,24,891,192,738,49,806,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,66,14,52,0,0,0,0,0,0,0,0,2023-12-31,0
